KARTU INVENTARIS RUANGAN;;;;;;;;;;;;;;;
PROPINSI;;: JAWA TIMUR;;;;;;;;;;;Semester : I;;
KABUPATEN;;: SUMENEP;;;;;;;;;;;;;
UNIT;;: CABANG DINAS  PENDIDIKAN PROV. JAWA TIMUR;;;;;;;;;;;;;
SATUAN KERJA;;: SMK  NEGERI  1  SUMENEP;;;;;;;;;;;;;
RUANGAN;;: RUANG   OSIS;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
No. Urut;Nama Barang / Jenis Barang;;Merk/ Model;No. Seri Pabrik;Ukuran;Bahan;Tahun Pembuatan/Pembelian;No. Kode Barang;Jumlah Barang/ Register ;Harga Beli / Perolehan;Sumber;Keadaan Barang;;;Keterangan Mutasi Dll
;;;;;;;;;;;;Baik         ( B );Kurang Baik ( KB );Rusak Berat         ( RB );
1;2;;3;4;5;6;7;8;9;10;11;12;13;14;15
1.;PU.Unit;;-;-;-;Campuran;1999;02.06.03.05.01;001; Rp3.500.000 ; B2P ;-;-;RB;
2;Meja;;-;-;-;Campuran;2008;02.06.02.04.06;001-002; - ; B2P ;Baik;-;-;
3;Kursi;;-;-;-;Campuran;2008;02.06.02.04.07;001-006; Rp2.008 ; B2P ;Baik;-;-;
4;Printer;;-;-;-;Campuran;2008;02.06.02.04.06;001; Rp750.000 ; B2P ;Baik;-;-;
5;Papan Struktur Organisasi;;-;-;-;Triplek;2008;02.06.01.05.07;001; Rp150.000 ; B2P ;Baik;-;-;
6;Papan Program Kerja;;-;-;-;Triplek;2008;02.06.01.05.07;001; Rp150.000 ; B2P ;Baik;-;-;
7;Figura Gambar Presiden;;-;-;38x27;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
8;Figura Gambar Presiden;;-;-;38x28;Campuran;2014;02.06.02.06.28;001; Rp30.000 ;B2P;Baik;-;-;
9;Figura Lamb. Garuda;;-;-;38x27;Campuran;2014;02.06.02.06.29;001; Rp30.000 ; B2P ;Baik;-;-;
;;;;;;;;;;;;;;;
;;MENGETAHUI ;;;;;;;;Sumenep, 19 Juli 2019;;;;;
;;KEPALA SMKN 1 SUMENEP;;;;;PENANGUNG JAWAB;;; PENGURUS BARANG;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;H. ZAINUL SAHARI, S.Pd., M.Pd;;;;;ACH. JUFRIYANTO;;;M A R I Y O N O;;;;;
;;NIP. 19690529 199802 1 002;;;;;NIP. ……………………………;;;NIP . 19780722 200801 1 011;;;;;
